Results_Name,VSPAERO_History
Results_Timestamp,1692335226
CDt,1.672185030599999955e-02,1.379555862299999998e-02,3.177439627300000097e-02
CDtot,-9.491917869270000141e-01,1.335177574400000025e-02,3.164564850700000292e-02
CDtott,1.098556736260000027e-01,1.638067482200000063e-02,3.566877834700000333e-02
CFx,-9.491917869270000141e-01,2.788533687000000014e-03,-5.271434914999999569e-03
CFy,-1.099141345562999916e+00,7.724879791999999905e-03,3.125766270600000007e-02
CFz,-3.184620281783800166e+01,1.213213603180000044e-01,2.121358195380000089e-01
CL,-3.184620281783800166e+01,1.206166591889999973e-01,2.098283748389999925e-01
CMl,-1.382279283447999996e+00,-3.007662237800000013e-02,-1.735516368000000059e-02
CMm,9.429386831963999782e+01,-3.753150045000000056e-03,2.652339319109999760e-01
CMn,1.309743561479199947e+01,7.504630399999999901e-04,1.062085879900000022e-02
CMx,1.382279283447999996e+00,3.007662237800000013e-02,1.735516368000000059e-02
CMy,9.429386831963999782e+01,-3.753150045000000056e-03,2.652339319109999760e-01
CMz,-1.309743561479199947e+01,-7.504630399999999901e-04,-1.062085879900000022e-02
CS,-1.099141345562999916e+00,7.724879791999999905e-03,3.125766270600000007e-02
E,-3.401038586290255625e+04,3.468372858060099873e+01,4.428581602684499785e+01
Fopt,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
L_D,3.355086217184999953e+01,9.033754124120999762e+00,6.630560116092000023e+00
Mach,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Re_1e6,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01
Results_Name,VSPAERO_Load
